               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.075874,            0.053177,            0.030672,             0.41308,             0.59185,             0.33529,             0.13244,            0.038284,            0.042545,            0.021682,           0.0082675,           0.0082675,           0.0082675
                  37,            0.061662,            0.055214,             0.02921,             0.25458,                0.65,             0.56933,              0.2426,            0.039885,            0.039613,            0.022317,            0.008218,            0.008218,            0.008218
                  38,            0.067596,            0.051854,            0.032999,             0.25458,                0.65,             0.56933,              0.2426,            0.039885,            0.039613,            0.022317,           0.0081685,           0.0081685,           0.0081685
                  39,            0.065431,            0.070877,            0.033885,             0.25458,                0.65,             0.56933,              0.2426,            0.039885,            0.039613,            0.022317,            0.008119,            0.008119,            0.008119
                  40,            0.056071,            0.065397,            0.026892,             0.25458,                0.65,             0.56933,              0.2426,            0.039885,            0.039613,            0.022317,           0.0080695,           0.0080695,           0.0080695
                  41,            0.057881,            0.043395,            0.026323,             0.21796,                0.75,             0.55289,             0.18506,            0.038565,            0.039278,             0.02227,             0.00802,             0.00802,             0.00802
                  42,            0.063923,            0.070917,            0.033984,             0.21796,                0.75,             0.55289,             0.18506,            0.038565,            0.039278,             0.02227,           0.0079705,           0.0079705,           0.0079705
                  43,            0.067883,            0.072559,            0.034497,             0.21796,                0.75,             0.55289,             0.18506,            0.038565,            0.039278,             0.02227,            0.007921,            0.007921,            0.007921
                  44,            0.050797,            0.052113,            0.027578,             0.21796,                0.75,             0.55289,             0.18506,            0.038565,            0.039278,             0.02227,           0.0078715,           0.0078715,           0.0078715
                  45,            0.068653,            0.061633,             0.03084,             0.64343,                 0.5,             0.69664,             0.19065,            0.037849,            0.038706,            0.022206,            0.007822,            0.007822,            0.007822
                  46,            0.056656,            0.057006,            0.031147,             0.64343,                 0.5,             0.69664,             0.19065,            0.037849,            0.038706,            0.022206,           0.0077725,           0.0077725,           0.0077725
                  47,            0.064595,            0.054906,            0.030612,             0.64343,                 0.5,             0.69664,             0.19065,            0.037849,            0.038706,            0.022206,            0.007723,            0.007723,            0.007723
                  48,            0.063003,            0.052232,            0.028896,             0.64343,                 0.5,             0.69664,             0.19065,            0.037849,            0.038706,            0.022206,           0.0076735,           0.0076735,           0.0076735
                  49,            0.057563,            0.057117,            0.030997,             0.69758,                 0.5,             0.73725,             0.32471,            0.036549,            0.038469,            0.022368,            0.007624,            0.007624,            0.007624
                  50,            0.057082,            0.057713,            0.030499,             0.69758,                 0.5,             0.73725,             0.32471,            0.036549,            0.038469,            0.022368,           0.0075745,           0.0075745,           0.0075745
                  51,            0.060173,            0.058433,            0.030247,             0.69758,                 0.5,             0.73725,             0.32471,            0.036549,            0.038469,            0.022368,            0.007525,            0.007525,            0.007525
                  52,            0.049305,            0.043162,             0.02387,             0.69758,                 0.5,             0.73725,             0.32471,            0.036549,            0.038469,            0.022368,           0.0074755,           0.0074755,           0.0074755
                  53,            0.064079,            0.054137,            0.032126,             0.78456,             0.63626,             0.87903,              0.2966,            0.036603,             0.03747,            0.022706,            0.007426,            0.007426,            0.007426
                  54,            0.065975,            0.050699,            0.031825,             0.78456,             0.63626,             0.87903,              0.2966,            0.036603,             0.03747,            0.022706,           0.0073765,           0.0073765,           0.0073765
                  55,            0.056483,            0.044979,            0.029948,             0.78456,             0.63626,             0.87903,              0.2966,            0.036603,             0.03747,            0.022706,            0.007327,            0.007327,            0.007327
                  56,            0.055518,            0.051429,            0.029997,             0.78456,             0.63626,             0.87903,              0.2966,            0.036603,             0.03747,            0.022706,           0.0072775,           0.0072775,           0.0072775
                  57,            0.051431,            0.049846,            0.027569,             0.74243,                 0.6,             0.72966,             0.23869,            0.036004,            0.035785,            0.022802,            0.007228,            0.007228,            0.007228
                  58,            0.055449,            0.047127,            0.027923,             0.74243,                 0.6,             0.72966,             0.23869,            0.036004,            0.035785,            0.022802,           0.0071785,           0.0071785,           0.0071785
                  59,            0.060901,            0.049916,            0.028396,             0.74243,                 0.6,             0.72966,             0.23869,            0.036004,            0.035785,            0.022802,            0.007129,            0.007129,            0.007129
                  60,             0.06562,            0.048246,            0.030557,             0.74243,                 0.6,             0.72966,             0.23869,            0.036004,            0.035785,            0.022802,           0.0070795,           0.0070795,           0.0070795
                  61,             0.06683,            0.048828,            0.030635,             0.51543,                0.55,             0.42028,             0.12506,            0.039182,            0.035385,            0.022376,             0.00703,             0.00703,             0.00703
                  62,            0.066809,            0.056219,            0.029517,             0.51543,                0.55,             0.42028,             0.12506,            0.039182,            0.035385,            0.022376,           0.0069805,           0.0069805,           0.0069805
                  63,            0.068678,            0.052697,            0.031363,             0.51543,                0.55,             0.42028,             0.12506,            0.039182,            0.035385,            0.022376,            0.006931,            0.006931,            0.006931
                  64,            0.061744,            0.051054,            0.029258,             0.51543,                0.55,             0.42028,             0.12506,            0.039182,            0.035385,            0.022376,           0.0068815,           0.0068815,           0.0068815
                  65,            0.055381,            0.043927,             0.02868,             0.54112,             0.68222,             0.64264,             0.31906,            0.037081,            0.031991,             0.02192,            0.006832,            0.006832,            0.006832
                  66,             0.06126,            0.041201,            0.030933,             0.54112,             0.68222,             0.64264,             0.31906,            0.037081,            0.031991,             0.02192,           0.0067825,           0.0067825,           0.0067825
                  67,            0.064809,            0.052687,            0.031176,             0.54112,             0.68222,             0.64264,             0.31906,            0.037081,            0.031991,             0.02192,            0.006733,            0.006733,            0.006733
                  68,            0.063773,            0.048857,            0.030523,             0.54112,             0.68222,             0.64264,             0.31906,            0.037081,            0.031991,             0.02192,           0.0066835,           0.0066835,           0.0066835
                  69,            0.060313,            0.042053,            0.026688,              0.6469,              0.6527,             0.78791,             0.40431,            0.031681,             0.03147,            0.021274,            0.006634,            0.006634,            0.006634
                  70,            0.051809,            0.045883,            0.027756,              0.6469,              0.6527,             0.78791,             0.40431,            0.031681,             0.03147,            0.021274,           0.0065845,           0.0065845,           0.0065845
                  71,            0.058078,            0.044401,            0.028483,              0.6469,              0.6527,             0.78791,             0.40431,            0.031681,             0.03147,            0.021274,            0.006535,            0.006535,            0.006535
                  72,            0.060015,            0.053067,            0.026618,              0.6469,              0.6527,             0.78791,             0.40431,            0.031681,             0.03147,            0.021274,           0.0064855,           0.0064855,           0.0064855
                  73,            0.051833,            0.053617,            0.024693,             0.70217,             0.50844,             0.67686,             0.34602,            0.035594,             0.03013,            0.020876,            0.006436,            0.006436,            0.006436
                  74,            0.053029,            0.040323,            0.025098,             0.70217,             0.50844,             0.67686,             0.34602,            0.035594,             0.03013,            0.020876,           0.0063865,           0.0063865,           0.0063865
                  75,            0.057978,            0.053145,            0.025636,             0.70217,             0.50844,             0.67686,             0.34602,            0.035594,             0.03013,            0.020876,            0.006337,            0.006337,            0.006337
                  76,            0.054627,             0.04494,            0.025658,             0.70217,             0.50844,             0.67686,             0.34602,            0.035594,             0.03013,            0.020876,           0.0062875,           0.0062875,           0.0062875
                  77,            0.065601,            0.051501,            0.026089,             0.58614,             0.58972,             0.69398,             0.35118,             0.03356,            0.030203,            0.020294,            0.006238,            0.006238,            0.006238
                  78,            0.058227,            0.048644,            0.028165,             0.58614,             0.58972,             0.69398,             0.35118,             0.03356,            0.030203,            0.020294,           0.0061885,           0.0061885,           0.0061885
                  79,            0.057431,            0.037512,            0.025419,             0.58614,             0.58972,             0.69398,             0.35118,             0.03356,            0.030203,            0.020294,            0.006139,            0.006139,            0.006139
